date,close
2024-01-01,2400.0
2024-01-02,2426.03
2024-01-03,2451.61
2024-01-04,2476.31
2024-01-05,2499.72
2024-01-08,2521.48
2024-01-09,2541.23
2024-01-10,2558.7
2024-01-11,2573.67
2024-01-12,2585.97
2024-01-15,2595.52
2024-01-16,2602.3
2024-01-17,2606.34
2024-01-18,2607.78
2024-01-19,2606.78
2024-01-22,2603.59
2024-01-23,2598.5
2024-01-24,2591.84
2024-01-25,2583.97
2024-01-26,2575.27
2024-01-29,2566.16
2024-01-30,2557.03
2024-01-31,2548.26
2024-02-01,2540.22
2024-02-02,2533.24
2024-02-05,2527.6
2024-02-06,2523.55
2024-02-07,2521.27
2024-02-08,2520.87
2024-02-09,2522.41
2024-02-12,2525.87
2024-02-13,2531.17
2024-02-14,2538.16
2024-02-15,2546.63
2024-02-16,2556.33
2024-02-19,2566.95
2024-02-20,2578.13
2024-02-21,2589.5
2024-02-22,2600.67
2024-02-23,2611.24
2024-02-26,2620.81
2024-02-27,2629.01
2024-02-28,2635.48
2024-02-29,2639.92
2024-03-01,2642.04
2024-03-04,2641.64
2024-03-05,2638.58
2024-03-06,2632.75
2024-03-07,2624.15
2024-03-08,2612.83
2024-03-11,2598.91
2024-03-12,2582.58
2024-03-13,2564.08
2024-03-14,2543.74
2024-03-15,2521.89
2024-03-18,2498.94
2024-03-19,2475.3
2024-03-20,2451.42
2024-03-21,2427.74
2024-03-22,2404.71
2024-03-25,2382.74
2024-03-26,2362.23
2024-03-27,2343.54
2024-03-28,2326.99
2024-03-29,2312.82
2024-04-01,2301.24
2024-04-02,2292.37
2024-04-03,2286.27
2024-04-04,2282.94
2024-04-05,2282.29
2024-04-08,2284.18
2024-04-09,2288.4
2024-04-10,2294.68
2024-04-11,2302.73
2024-04-12,2312.19
2024-04-15,2322.68
2024-04-16,2333.81
2024-04-17,2345.18
2024-04-18,2356.39
2024-04-19,2367.08
2024-04-22,2376.88
2024-04-23,2385.49
2024-04-24,2392.63
2024-04-25,2398.1
2024-04-26,2401.74
2024-04-29,2403.47
2024-04-30,2403.26
2024-05-01,2401.16
2024-05-02,2397.27
2024-05-03,2391.78
2024-05-06,2384.92
2024-05-07,2376.97
2024-05-08,2368.25
2024-05-09,2359.14
2024-05-10,2350.01
2024-05-13,2341.26
2024-05-14,2333.29
2024-05-15,2326.49
2024-05-16,2321.23
2024-05-17,2317.84
2024-05-20,2316.62
2024-05-21,2317.81
2024-05-22,2321.6
2024-05-23,2328.1
2024-05-24,2337.38
2024-05-27,2349.42
2024-05-28,2364.14
2024-05-29,2381.37
2024-05-30,2400.92
2024-05-31,2422.49
2024-06-03,2445.76
2024-06-04,2470.35
2024-06-05,2495.87
2024-06-06,2521.87
2024-06-07,2547.91
2024-06-10,2573.56
2024-06-11,2598.36
2024-06-12,2621.92
2024-06-13,2643.85
2024-06-14,2663.81
2024-06-17,2681.51
2024-06-18,2696.73
2024-06-19,2709.3
2024-06-20,2719.12
2024-06-21,2726.16
2024-06-24,2730.47
2024-06-25,2732.16
2024-06-26,2731.39
2024-06-27,2728.4
2024-06-28,2723.48
2024-07-01,2716.95
2024-07-02,2709.18
2024-07-03,2700.55
2024-07-04,2691.46
2024-07-05,2682.32
2024-07-08,2673.49
2024-07-09,2665.37
2024-07-10,2658.27
2024-07-11,2652.49
2024-07-12,2648.28
2024-07-15,2645.82
2024-07-16,2645.23
2024-07-17,2646.58
2024-07-18,2649.86
2024-07-19,2654.98
2024-07-22,2661.82
2024-07-23,2670.16
2024-07-24,2679.75
2024-07-25,2690.29
2024-07-26,2701.43
2024-07-29,2712.8
2024-07-30,2724.01
2024-07-31,2734.66
2024-08-01,2744.34
2024-08-02,2752.69
2024-08-05,2759.35
2024-08-06,2763.99
2024-08-07,2766.35
2024-08-08,2766.21
2024-08-09,2763.4
2024-08-12,2757.85
2024-08-13,2749.52
2024-08-14,2738.46
2024-08-15,2724.78
2024-08-16,2708.67
2024-08-19,2690.38
2024-08-20,2670.2
2024-08-21,2648.48
2024-08-22,2625.62
2024-08-23,2602.03
2024-08-26,2578.15
2024-08-27,2554.43
2024-08-28,2531.32
2024-08-29,2509.22
2024-08-30,2488.56
2024-09-02,2469.68
2024-09-03,2452.9
2024-09-04,2438.5
2024-09-05,2426.66
2024-09-06,2417.52
2024-09-09,2411.15
2024-09-10,2407.55
2024-09-11,2406.65
2024-09-12,2408.3
2024-09-13,2412.3
2024-09-16,2418.4
